Topic,Growth_Ratio,Recent_Changepoint,Avg_Severity,Risk_Score,Name,Representation,Count
73,1.25,False,0.24675324675324675,1.4042207792207793,73_hold short_hold_short_cross runway,"['hold short', 'hold', 'short', 'cross runway', 'cross', 'taxiway', 'taxi', 'runway', 'runway 19', '4l']",77
283,0.7692307692307692,False,1.6363636363636365,1.3986013986013985,283_helicopter_c172_nmac_reported nmac,"['helicopter', 'c172', 'nmac', 'reported nmac', 'pattern', 'vuo', 'ctaf', 'hovering', 'traffic pattern', 'traffic']",55
225,0.6172839506172839,False,2.5254237288135593,1.3967357187696168,225_fuel_tank_zzz2_quantity,"['fuel', 'tank', 'zzz2', 'quantity', 'zzz1', 'tanks', 'fuel quantity', 'lbs', 'gallons', 'planned']",59
362,0.9523809523809524,False,0.92,1.3904761904761904,362_rwy 21_01r_tmc_rwy,"['rwy 21', '01r', 'tmc', 'rwy', 'separation', 'heading', 'circle', 'ils', 'turn', 'final']",50
94,0.6451612903225805,False,2.2972972972972974,1.3862249346120312,94_compressor_engine_number engine_right engine,"['compressor', 'engine', 'number engine', 'right engine', 'vibration', 'thrust', 'compressor stall', 'idle', 'left engine', 'stall']",74
151,0.7317073170731707,False,1.7575757575757576,1.3747228381374723,151_wake_wake turbulence_turbulence_encounter,"['wake', 'wake turbulence', 'turbulence', 'encounter', 'trail', 'encountered', 'encountered wake', 'encountering wake', 'reported encountering', 'encountering']",66
81,0.6451612903225805,False,2.25,1.3709677419354835,81_gear_landing gear_trim_qrh,"['gear', 'landing gear', 'trim', 'qrh', 'lg', 'ecam', 'retract', 'gear handle', 'checklist', 'handle']",76
95,0.7317073170731707,False,1.7432432432432432,1.3694792353328937,95_drone_uav_nmac_nmac uav,"['drone', 'uav', 'nmac', 'nmac uav', 'reported nmac', 'near miss', 'drones', 'evasive', 'uas', 'miss']",74
333,0.6451612903225805,False,2.235294117647059,1.3662239089184058,333_bleed_eicas_duct_leak,"['bleed', 'eicas', 'duct', 'leak', 'duct leak', 'message', 'apu', 'bleed leak', 'eicas message', 'bleed air']",51
21,0.6578947368421052,False,2.131868131868132,1.3591671486408325,21_fumes_smell_odor_fume,"['fumes', 'smell', 'odor', 'fume', 'symptoms', 'smelled', 'attendant', 'flight attendant', 'cabin', 'strong']",91
242,0.7692307692307692,False,1.5172413793103448,1.352785145888594,242_fault_ctl_ecam_mx,"['fault', 'ctl', 'ecam', 'mx', 'mel', 'apu', 'elac', 'maintenance', 'message', 'messages']",58
48,0.7142857142857142,False,1.7439024390243902,1.3371080139372822,48_traffic_tcas_ra_evasive,"['traffic', 'tcas', 'ra', 'evasive', 'nmac', 'vfr traffic', 'collision', 'oclock', 'avoid', 'adsb']",82
301,0.7692307692307692,False,1.471698113207547,1.3352685050798259,301_vfr_ra_traffic_checkpoint,"['vfr', 'ra', 'traffic', 'checkpoint', 'mva', 'radar', 'king', 'vfr aircraft', 'miles', 'oclock']",53
